disposition,sy_snum,sy_pnum,pl_orbper,pl_rade,pl_ratror,st_teff,st_rad,sy_gaiamag
non-candidate,1,0,27.242912,18.8,0.2367,5547.0,0.9,11.1348
candidate,1,0,1.395336,0.76,0.0248,5292.0,0.28,14.4385
candidate,1,0,1.39533316,2.6,0.0305049999999999,3433.0,0.424658,14.4385
candidate,1,0,1.3951513,0.879,0.02341,3390.0,0.32,14.4385
candidate,1,0,15.3791,1.89,0.0516,5292.0,0.336,15.8642
candidate,1,0,33.5107,2.14,0.02173,5683.0,0.896,11.7105
candidate,1,0,33.51569,3.83,0.0305049999999999,5552.0,0.71,11.7105
candidate,1,0,33.5116,2.89,0.0302,5292.0,0.875,11.7105
candidate,1,0,33.513607,2.47313225,0.026437,5628.0,0.857642,11.7105
candidate,1,0,33.515399,2.03,0.02561,4222.0,0.65,11.7105
candidate,1,2,3.96151,1.0,0.0168,5292.0,0.864,14.2575
candidate,1,2,3.96165,1.48,0.0214,5292.0,0.634,14.2575
candidate,1,0,6.97251,2.01,0.0294,5292.0,0.6252,14.0326
candidate,1,1,4.1698,1.04,0.0152,5053.0,0.628461,14.5885
candidate,1,1,4.16959,1.1,0.016,5292.0,0.864,14.5885
candidate,1,1,4.16888,1.41,0.0205,5292.0,0.628,14.5885
candidate,1,1,12.3389,2.11,0.0308,5292.0,0.628,14.5885
candidate,1,1,12.339133,2.59,0.02881,4751.0,0.73,14.5885
candidate,1,0,2.89465,1.75,0.0228,5292.0,0.702,14.5976
candidate,1,0,3.83794,1.51,0.0172,5292.0,0.809,13.4874
candidate,1,0,5.24086,1.46,0.0166,5292.0,0.809,13.4874
candidate,1,0,2790.0,12.2,0.121,5100.0,0.93,11.5629
candidate,1,0,8.91058,2.8,0.0249,5292.0,1.028,13.3406
candidate,1,0,28.2692,3.35,0.0236,5631.0,1.29,12.9033
candidate,1,0,28.270642,2.79,0.02688,5545.0,0.9,12.9033
candidate,1,0,28.2671,2.94,0.0263,5292.0,1.028,12.9033
candidate,1,0,28.271761,2.7100633,0.026614,5548.0,0.933556,12.9033
candidate,1,0,28.2717,2.6,0.0264,5564.0,1.02594,12.9033
candidate,1,0,4.73172,1.7,0.0152,5292.0,1.028,12.9033
candidate,1,0,0.782022,1.58,0.0154,5292.0,0.94,13.6711
candidate,1,0,0.78214992,1.29,0.01346,5144.0,0.79,13.6711
candidate,1,0,15.4769,2.89,0.0401,5292.0,0.66,14.929
candidate,1,0,6.4498648,2.63,0.0257,5395.0,0.85,13.0886
candidate,1,0,6.45027,2.29,0.0235,5292.0,0.894,13.0886
non-candidate,1,0,1.19478,1.65,0.0644,3671.0,0.235,16.6373
non-candidate,1,0,6.7713125000000005,2.6,0.0305049999999999,4786.0,0.7,13.0277
non-candidate,1,0,1.5771832,33.4,0.2491,8210.0,1.94,12.6702
non-candidate,1,0,1.57753,26.0,0.13,7747.0,1.93,12.6702
candidate,1,0,3.262038,2.6,0.277,10318.0,5.27397,11.3231
candidate,1,0,4.4654,45.0,0.18,5292.0,2.3,11.4234
candidate,1,0,21.140574,31.5,0.2499,6205.0,1.29,12.305
candidate,1,0,5.74372,2.6,0.205,5292.0,0.864,12.4653
candidate,1,0,3.2923818,19.6,0.1053,7824.0,1.87,14.7765
candidate,1,0,6.90487,53.0,0.34,6599.0,1.45,12.6702
candidate,1,0,6.905053,2.6,0.352,5292.0,0.864,12.6702
candidate,1,0,6.9055211,33.6,0.1906,6722.0,1.89,12.6702
candidate,1,0,1.696374,35.3,0.1803,5292.0,1.793,14.4233
candidate,1,0,3.046136,76.0,0.41,5292.0,1.698,10.8766
candidate,1,0,3.0459383,19.0,0.1997,5529.0,0.89,10.8766
candidate,1,0,3.04622,29.0,0.3,5529.0,0.89,10.8766
candidate,1,0,3.23792,2.6,0.02,4500.0,0.639668,12.5582
candidate,1,0,3.238542,1.67,0.02037,4446.0,0.69,12.5582
candidate,1,0,3.2367,1.58,0.0196,4863.0,0.74,12.5582
candidate,1,0,6.2719092,60.0,0.3733,7254.0,1.81,10.1789
non-candidate,1,0,23.7782,98.0,0.44,7498.0,2.09,10.4274
candidate,1,0,1.42636,6.66,0.0142,5292.0,4.28,10.402
candidate,1,0,3.979287,37.5,0.2167,7430.0,1.84,11.5166
candidate,1,0,2.1417519,86.2,0.5571,6492.0,1.59,10.3219
candidate,1,0,2.86136,2.6,0.033,3697.0,0.50129,14.8633
candidate,1,0,3.10622,2.6,0.101,3636.0,0.501135,15.2193
candidate,1,0,1.814553,2.6,0.181,4618.0,10.0566,15.0307
candidate,1,0,17.1541,2.6,0.354,4930.0,16.1325,15.1318
candidate,1,0,12.1507,1.48,0.01639,5292.0,0.83,11.4122
candidate,1,0,2.4343734,61.4,0.6393,5568.0,0.9,12.0965
candidate,1,0,1.8490876,17.3,0.2448,5693.0,0.96,12.3617
candidate,1,0,2.620724,11.7,0.1095,6013.0,1.14,11.4672
candidate,1,0,2.620799,37.0,0.195,5292.0,1.725,11.4672
candidate,1,0,2.62077,58.0,0.4,6302.0,1.4,11.4672
candidate,1,0,1.314437,3.09990986,0.019306,6009.0,1.472064,11.5156
candidate,1,0,1.3144014,2.78,0.01995,6137.0,1.23,11.5156
candidate,1,0,4.8045244,3.62,0.02388,6187.0,1.28,11.3269
candidate,1,0,6.14818,2.6,0.03756,6591.31,2.29043,12.6702
candidate,1,0,1.49761,2.6,0.01452,5292.0,0.864,12.6702
candidate,1,0,6.479656,3.33165021,0.033145,5586.0,0.921539,13.3578
candidate,1,0,6.48167,3.46,0.0344,5292.0,0.922,13.3578
candidate,1,0,6.4804111,3.39,0.03274,5537.0,0.89,13.3578
candidate,1,0,2.8445331,65.3,0.5768,6045.0,1.16,10.5671
candidate,1,0,0.6687,2.22,0.01048,5292.0,1.942,9.88677
candidate,1,0,13.3461,42.0,0.151,5292.0,2.575,11.5014
candidate,1,0,4.13737,24.5,0.217,5292.0,1.03,14.4841
candidate,1,0,4.1376047,7.33,0.0959,4581.0,0.7,14.4841
candidate,1,0,2.469851,6.6,0.0406,5292.0,1.479,12.6702
candidate,1,0,0.690458,2.6,0.256,6912.12,1.50882,11.4997
candidate,1,0,0.689647,6.58,0.0558,6481.0,1.08,11.4997
candidate,1,0,4.1687922,16.1,0.1802,6005.0,1.14,12.3758
candidate,1,0,21.17051,81.0,0.295,5292.0,2.536,11.7238
candidate,1,0,5.31937553733,19.66846395,0.0305049999999999,6350.0,2.36934,12.179
candidate,1,0,5.319075,20.0,0.08027,5292.0,2.28,12.179
non-candidate,1,0,12.86772,71.0,0.38,6861.0,1.79,12.9556
non-candidate,1,0,12.866412,61.0,0.342,5292.0,1.642,12.9556
non-candidate,1,0,12.866539,22.3,0.1905,6066.0,1.18,12.9556
non-candidate,1,0,1.8461222,19.5,0.09427,7536.0,1.82,13.4593
non-candidate,1,0,1.84617,2.14,0.0947,3252.0,0.21,13.4593
candidate,1,0,6.6223,2.6,0.0573,5000.0,5.54598,15.5167
candidate,1,0,0.5217136,452.0,0.367,5292.0,11.27,11.4542
candidate,1,0,11.975818,8.43,0.2915,3320.0,0.28,15.429
candidate,1,0,11.97495,256.0,0.76,5200.0,3.4,15.429
candidate,1,0,5.9895,2.04,0.0182,5292.0,1.03,10.303
candidate,1,0,28.707623,21.2,0.2136,5838.0,1.03,12.1514
candidate,1,0,15.4715,9.2,0.044,5791.0,1.89,12.4043
candidate,1,0,15.465691,4.13,0.04849,4989.0,0.76,12.4043
candidate,1,0,15.466674,16.12109089,0.12002,5807.0,1.231429,12.4043
candidate,1,0,1.4556637,2.6,0.0305049999999999,6520.0,1.84406,11.7989
candidate,1,0,1.45556515,71.0,0.318,5292.0,2.043,11.7989
candidate,1,0,3.3262396,1.16,0.03846,3404.0,0.33,12.1804
candidate,1,0,3.32592848,2.6,0.0305049999999999,4017.0,60.6949,12.1804
candidate,1,0,3.3255,1080.0,0.116,5292.0,85.0,12.1804
candidate,1,0,13.1426,200.0,0.13,5292.0,13.9,15.8068
candidate,1,0,4.474513,8.16881084,0.033719,6081.0,2.221057,12.7788
candidate,1,0,4.4743465,3.06,0.03229,5248.0,0.81,12.7788
candidate,1,0,4.47471,22.0,0.081,5292.0,2.486,12.7788
candidate,1,0,2.1989041,46.6,0.6032,4938.0,0.75,13.3907
candidate,1,0,4.1657292,1.86,0.05024,3442.0,0.36,14.3752
non-candidate,1,0,0.6308,2.6,0.0305049999999999,5292.0,0.864,12.6702
candidate,1,0,0.2358684,6.1,0.0313,5292.0,1.792,12.5286
candidate,1,0,12.99109,43.0,0.088,5292.0,4.5,15.4797
candidate,1,0,1.7359447,1.89,0.02551,5354.0,0.84,12.4966
candidate,1,0,1.8389349,0.837,0.01201,3930.0,0.58,10.6678
