koi_disposition,kepid,kepoi_name,koi_pdisposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_impact,koi_duration,koi_depth,koi_prad,koi_teq,koi_insol,koi_model_snr,koi_steff,koi_slogg,koi_srad,koi_kepmag,ra,dec,koi_time0bk,koi_tce_plnt_num,is_confirmed,any_false_positive_flag,koi_period_log,koi_prad_log,koi_teq_log
CANDIDATE,8639908,K02700.01,CANDIDATE,1.0,0,0,0,0,0.910020582,0.79,1.7956,358.1,1.12,1127.0,380.16,29.9,4297.0,4.725,0.533,15.381,297.00354,44.775089,131.99239,1.0,0,0,-0.09428806214459738,0.11332868530700327,7.027314514039777
FALSE POSITIVE,5481148,K02701.01,FALSE POSITIVE,0.0,0,0,1,0,22.023514,0.934,1.932,1670.0,4.79,639.0,39.45,10.2,5860.0,4.489,0.936,14.818,299.59561,40.622822,135.18349,1.0,0,1,3.092110700760651,1.5665304114228238,6.459904454377535
CANDIDATE,11076400,K02759.01,CANDIDATE,1.0,0,0,0,0,1.07808492,0.287,0.8551,155.6,1.01,1417.0,951.61,22.9,4906.0,4.511,0.814,14.288,287.72565,48.651379,132.03683,1.0,0,0,0.07518624489438193,0.009950330853168092,7.256297239690681
CONFIRMED,7877978,K02760.01,CANDIDATE,1.0,0,0,0,0,56.5732318,0.942,4.188,688.5,2.69,356.0,3.79,21.6,4701.0,4.54,0.775,14.889,286.3718,43.691921,146.57984,1.0,1,0,4.035535936943687,0.9895411936137477,5.87493073085203
FALSE POSITIVE,7903086,K02761.01,FALSE POSITIVE,0.0,0,1,1,0,1.846861455,0.48,1.6605,648.6,2.23,1337.0,753.4,35.9,5591.0,4.559,0.86,15.881,295.77368,43.671951,131.90493,1.0,0,1,0.6134876875752797,0.8020015854720274,7.198183577101943
CONFIRMED,12024120,K00265.01,CANDIDATE,0.999,0,0,0,0,3.568099612,0.531,3.2131,98.4,1.36,1407.0,926.89,52.5,6007.0,4.232,1.334,11.994,297.01883,50.408981,169.74278,1.0,1,0,1.2720331324894933,0.3074846997479607,7.249215057114389
CONFIRMED,8210018,K02762.01,CANDIDATE,1.0,0,0,0,0,132.9955503,0.703,7.436,1275.4,2.51,241.0,0.8,29.3,4523.0,4.636,0.659,15.028,280.51175,44.159351,258.3961,1.0,1,0,4.8903156712710985,0.9202827531436925,5.484796933490655
CONFIRMED,3642289,K00301.01,CANDIDATE,1.0,0,0,0,0,6.002548291,0.914,4.1628,202.0,2.33,1209.0,504.79,71.6,6204.0,4.269,1.36,12.73,290.49512,38.795479,171.71419,1.0,1,0,1.7921840942287643,0.8458682675776092,7.097548850614793
CONFIRMED,3642289,K00301.02,CANDIDATE,1.0,0,0,0,0,11.44865823,0.824,4.953,75.2,1.32,975.0,213.39,21.9,6204.0,4.269,1.36,12.73,290.49512,38.795479,141.38705,2.0,1,0,2.437872537980694,0.27763173659827955,6.882437470997847
CONFIRMED,3662838,K00302.01,CANDIDATE,1.0,0,0,0,0,24.85466504,0.746,9.182,776.2,7.61,1095.0,339.33,88.0,6967.0,3.864,2.527,12.059,295.6088,38.735741,173.99971,1.0,1,0,3.2130454628917544,2.0294631718735947,6.9985096422506015
