koi_disposition,kepid,kepoi_name,koi_pdisposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_impact,koi_duration,koi_depth,koi_prad,koi_teq,koi_insol,koi_model_snr,koi_steff,koi_slogg,koi_srad,koi_kepmag,ra,dec,koi_time0bk,koi_tce_plnt_num,is_confirmed,any_false_positive_flag,koi_period_log,koi_prad_log,koi_teq_log
CANDIDATE,5196864,K02695.01,CANDIDATE,1.0,0,0,0,0,2.50343279,1.178,1.534,1156.0,20.23,1147.0,408.12,13.2,5174.0,4.483,0.84,15.601,294.54373,40.313862,131.94522,1.0,0,0,0.917662906012472,3.007166651179654,7.044905117129371
CANDIDATE,11071200,K02696.01,CANDIDATE,0.996,0,0,0,0,96.4562198,0.775,11.195,950.5,9.1,727.0,65.96,54.6,7029.0,3.806,2.704,12.998,284.41592,48.65802,214.74931,1.0,0,0,4.56908922457164,2.2082744135228043,6.588926477533519
CANDIDATE,11071200,K02696.02,CANDIDATE,0.992,0,0,0,0,44.5643831,0.851,7.874,360.5,5.8,940.0,184.67,27.0,7029.0,3.806,2.704,12.998,284.41592,48.65802,143.43526,2.0,0,0,3.796934954785198,1.7578579175523736,6.84587987526405
CONFIRMED,10905911,K02754.01,CANDIDATE,0.844,0,0,0,0,1.34155642,0.259,1.6462,58.2,0.74,1642.0,1715.26,23.7,5779.0,4.44,0.97,12.299,283.74582,48.373432,132.73743,1.0,1,0,0.29383044739758885,-0.3011050927839216,7.403670290012373
CONFIRMED,3545135,K02755.01,CANDIDATE,0.995,0,0,0,0,8.48299282,0.564,2.505,69.1,0.8,879.0,141.04,21.3,5827.0,4.471,0.933,12.147,291.57422,38.655949,132.96583,1.0,1,0,2.1380633144265597,-0.2231435513142097,6.778784897685177
CONFIRMED,6964929,K02756.01,CANDIDATE,0.941,0,0,0,0,0.665025941,0.448,1.7542,104.7,1.11,2174.0,5246.66,26.5,5884.0,4.408,1.07,14.758,296.23282,42.47279,131.65962,1.0,1,0,-0.40792923006455867,0.10436001532424286,7.684324067681155
CONFIRMED,6432345,K02757.01,CANDIDATE,0.998,0,0,0,0,234.635652,0.025,6.965,868.5,2.56,267.0,1.2,26.7,5422.0,4.481,0.885,14.607,288.15671,41.877972,172.64615,1.0,1,0,5.458033893982672,0.9400072584914712,5.58724865840025
CANDIDATE,8703129,K02758.01,CANDIDATE,0.977,0,0,0,0,253.374581,0.028,22.889,1104.0,19.25,555.0,22.41,99.9,5177.0,3.216,5.949,11.893,296.7236,44.853142,235.74025,1.0,0,0,5.534868951095414,2.9575110607337933,6.318968113746434
CONFIRMED,11565924,K02837.01,CANDIDATE,1.0,0,0,0,0,13.32191461,0.784,6.213,133.5,2.88,1299.0,672.06,24.3,6995.0,3.925,2.274,13.228,295.15219,49.587601,142.7235,1.0,1,0,2.589410394272202,1.0577902941478545,7.1693500166706
CONFIRMED,6607357,K02838.01,CANDIDATE,0.996,0,0,0,0,7.69994466,0.018,4.432,70.9,0.92,969.0,208.61,17.4,5727.0,4.328,1.104,13.421,292.19971,42.046089,134.39282,1.0,1,0,2.0412131418208244,-0.08338160893905101,6.876264611890766
CONFIRMED,6607357,K02838.02,CANDIDATE,0.936,0,0,0,0,4.77466043,0.03,3.804,54.3,0.81,1137.0,395.06,15.5,5727.0,4.328,1.104,13.421,292.19971,42.046089,135.16338,2.0,1,0,1.563322857267838,-0.21072103131565253,7.036148493750536
CONFIRMED,9451706,K00271.02,CANDIDATE,1.0,0,0,0,0,29.39337161,0.512,7.0445,327.0,2.5,698.0,55.98,69.7,6075.0,4.264,1.352,11.485,285.19,46.027962,209.06737,1.0,1,0,3.38076919348356,0.9162907318741551,6.548219102762372
CONFIRMED,6186964,K02839.01,CANDIDATE,1.0,0,0,0,0,2.164570593,0.338,1.2862,525.1,1.27,783.0,88.91,19.8,3941.0,4.713,0.554,15.877,285.06491,41.554871,131.83142,1.0,1,0,0.7722220013666874,0.23901690047049992,6.663132695990803
FALSE POSITIVE,5471202,K02911.01,FALSE POSITIVE,0.0,1,0,1,1,12.4258343,0.967,28.1171,449.4,2.75,830.0,111.92,72.0,6185.0,4.472,0.991,14.865,297.58987,40.60194,141.5311,1.0,0,1,2.5197777166097293,1.0116009116784799,6.721425700790643
FALSE POSITIVE,9640439,K02912.01,FALSE POSITIVE,0.052,0,0,1,0,0.873227249,0.14,0.7948,221.8,1.68,2152.0,5053.02,21.9,6341.0,4.409,1.111,15.153,287.69272,46.366928,132.23359,1.0,0,1,-0.1355594488839433,0.5187937934151675,7.674152921281675
CONFIRMED,9693006,K02913.01,CANDIDATE,0.997,0,0,0,0,2.88878583,0.242,2.977,40.9,0.84,1423.0,969.05,17.2,5696.0,4.247,1.331,12.858,282.63138,46.48111,132.33651,1.0,1,0,1.060836285818153,-0.1743533871447778,7.260522598089852
CANDIDATE,6837283,K02914.01,CANDIDATE,0.988,0,0,0,0,21.1181653,0.675,9.734,112.7,2.89,1110.0,359.11,26.3,6461.0,3.779,2.566,12.199,281.69159,42.397549,133.59196,1.0,0,0,3.050133584799469,1.0612565021243408,7.01211529430638
CANDIDATE,5613821,K02915.01,CANDIDATE,0.999,0,0,0,0,5.06092282,0.944,2.586,71.6,0.98,998.0,234.93,15.7,5637.0,4.492,0.911,13.346,289.91742,40.828606,134.47316,1.0,0,0,1.6215488421650566,-0.020202707317519466,6.905753276311464
FALSE POSITIVE,6627507,K02697.01,FALSE POSITIVE,0.0,0,0,1,0,7.37453336,1.139,3.745,304.4,87.08,1654.0,1770.84,33.1,5028.0,3.289,4.991,12.904,297.2952,42.011681,131.55947,1.0,0,1,1.9980326270037099,4.466827236366346,7.4109518755836366
CONFIRMED,5128673,K02698.01,CANDIDATE,0.95,0,0,0,0,87.9724227,0.015,14.638,866.7,3.39,446.0,9.37,64.6,5837.0,4.305,1.159,14.0,298.83588,40.29314,168.29785,1.0,1,0,4.477023386955841,1.220829921392359,6.100318952020064
CONFIRMED,6690836,K02699.01,CANDIDATE,1.0,0,0,0,0,0.568874717,0.05,1.2177,378.4,1.49,1796.0,2473.19,50.4,5223.0,4.593,0.78,15.23,291.61188,42.115971,132.048771,1.0,1,0,-0.5640950501185376,0.3987761199573678,7.493317248862145
